hex,name
#E3256B,razzmatazz
#0047AB,cobalt
#E6E200,peridot
#E6E6FA,lavender
#E4D00A,citrine
#0014A8,zaffre
#007474,skobeloff
#00A86B,jade
#0F52BA,sapphire
#50C878,emerald
#FF7518,pumpkin
#FF7F50,coral
#B06500,ginger
#B22222,firebrick
#B2EC5D,inchworm
#B2FFFF,celeste
#B31B1B,carnelian
#704214,sepia
#ACE1AF,celadon
#FCF75E,icterine
#FDBCB4,melon
#80461B,russet
#808000,olive
#003399,smalt
#00BFFF,capri
#FFE5B4,peach
#FFF700,lemon
#FFFFF0,ivory
#FFFF31,daffodil
#FFF8DC,cornsilk
#E34234,vermilion
#E3DAC9,bone
#E3F988,mindaro
#E48400,fulvous
#E49B0F,gamboge
#E4D96F,straw
#FFC87C,topaz
#FFD700,gold
#FFDB58,mustard
#FFE4C4,bisque
#DC143C,crimson
#F8DE7E,jasmine
#F8F4FF,magnolia
#FFE4B5,moccasin
#FFBF00,amber
#BD33A4,byzantine
#BD8846,ochre
#B87333,copper
#B7410E,rust
#CC8899,puce
#CCCCFF,periwinkle
#CB410B,sinopia
#C2B280,ecru
#CD5C5C,chestnut
#CD7F32,bronze
#D1E231,pear
#CD5700,tawny
#CF1020,lava
#E52B50,amaranth
#E30B5D,raspberry
#E25822,flame
#E1AD21,urobilin
#E0B0FF,mauve
#E0115F,ruby
#DEAA88,tumbleweed
#DEB887,burlywood
#DEC26E,beige
#DF00FF,phlox
#FF2400,scarlet
#F94D00,tangelo
#FBCEB1,apricot
#FDEE00,aureolin
#FF8C69,salmon
#007BA7,cerulean
#00FF00,lime
#0F0F0F,onyx
#0BDA51,malachite
#21421E,myrtle
#3D2B1F,bistre
#3EB489,mint
#4B0082,indigo
#483C32,taupe
#43B3AE,verdigris
#40826D,viridian
#65000B,rosewood
#990000,stizza
#9966CC,amethyst
#9AB973,olivine
#9ACEEB,cornflower
#CD853F,peru
#E9FFDB,nyanza
#DBCCA5,cream
#DBD7D2,timberwolf
#DA70D6,orchid
#4D5D53,feldgrau
#536872,cadet
#531F23,maroon
#534B4F,liver
#5A4FCF,iris
#008080,stormcloud
#30D5C8,turquoise
#36454F,charcoal
#614051,aubergine
#635147,umber
#645452,wenge
#6082B6,glaucous
#6F4E37,coffee
#715540,tan
#71BC78,fern
#722F37,wine
#800020,burgundy
#79443B,bole
#A0785A,chamoisee
#F0FFF0,honeydew
#F0FFFF,azure
#C54B8C,mulberry
#C8A2C8,lilac
#C9A0DC,wisteria
#7FFF00,chartreuse
#7FFFD4,aquamarine
#DCDCDC,gainsboro
#DDA0DD,plum
#DE3163,cerise;cherry
#DE5D83,blush
#DF73FF,heliotrope
#738678,xanadu
#74C365,mantis
#702963,byzantium
#B53389,fandango
#FF0040,carmine
#FF004F,folly
#FF00FF,fuchsia;magenta
#F3E5AB,vanilla
#EF98AA,mauvelous
#F4C430,saffron
#F4F0EC,isabelline
#EEDC82,flax
#EFDECD,almond
#F0DC82,buff
#F0E130,dandelion
#F0E68C,khaki
#A52A2A,auburn
#A81C07,rufous
#A99A86,grullo
#E5E4E2,platinum
#EAE0C8,pearl
#E5AA70,fawn
#98777B,bazaar
#98817B,cinereous
#A020F0,veronica
#979AAA,manatee
#FFCC33,sunglow
#C04000,mahogany
#C41E3A,cardinal
#FAD6A5,champagne
#FADA5E,jonquil
#FBEC5D,corn;maize
#87A96B,asparagus
#882D17,sienna
#8878C3,ube
#893F45,cordovan
#FF3800,coquelicot
#FF007F,rose
#FAF0BE,blond
#FAF0E6,linen
#732E6C,violet
#3FFF00,harlequin
#120A8F,ultramarine
#F28500,tangerine
#93C572,pistachio
#F7E98E,flavescent
#FF0028,ruddy
#D2691E,cinnamon;chocolate
#00FFFF,waterspout;cyan
#45CEA2,shamrock
#B5A642,brass
#008000,ao
#957F56,sand
#9F8170,beaver
#E62020,lust
#DAA520,goldenrod
#F0EAD6,eggshell
#C7AB84,middlestone
#5D8AA8,rackley;royal air force blue
#873260,boysenberry
#8A795D,shadow
#C19A6B,desert;lion;camel;fallow
#ECD540,sandstorm
